age_bucket,drive_days,failures,age_low_years,hazard_daily,afr
"[0, 1)",4668208,88,0,1.8850916668666006e-05,0.0068617124149993325
"[1, 2)",4324019,67,1,1.549484403283149e-05,0.0056435506282613845
"[2, 3)",3435096,92,2,2.6782366489903047e-05,0.009734698418652599
"[3, 4)",5232734,168,3,3.210558763353918e-05,0.011658263734871
"[4, 5)",5313009,199,4,3.74552348772607e-05,0.013587624170133816
"[5, 6)",1917885,224,5,0.0001167953240157778,0.0417647653533918
"[6, 7)",411273,51,6,0.00012400522280820768,0.044285180257511714
"[7, 8)",1482673,114,7,7.68881607744931e-05,0.027693777505302997
"[8, 10)",973373,57,8,5.855925734533422e-05,0.021162264194655944
"[10, 99)",2918,0,10,0.0,0.0
