covariate,coef,exp(coef),se(coef),z,p,coef lower 95%,coef upper 95%
log_cum_obligated,0.32469197907491537,1.383604401230352,0.0031371764155974343,103.49815759821783,0.0,0.31854322628719595,0.3308407318626348
awards_to_date,0.0008469430091998568,1.0008473017667054,1.6050323705313707e-05,52.767970587375956,0.0,0.0008154849527972324,0.0008784010656024811
tenure_years,-0.11661897240781967,0.8899242142516945,0.0015741861593253376,-74.0820720071634,0.0,-0.11970432058505875,-0.11353362423058058
mean_gap_days,-0.003820593016004252,0.9961866961635417,6.506009066388203e-05,-58.724065352790014,0.0,-0.003948108450536371,-0.0036930775814721325
log_last_award_amount,-0.036214321642394985,0.9644335723443016,0.0025480431534630416,-14.212601381250611,7.652896491503856e-46,-0.041208394454236415,-0.03122024883055356
maint_share_to_date,0.1537807976099154,1.1662352172107597,0.027636113387611173,5.564487142350952,2.629245130196385e-08,0.09961501069753226,0.20794658452229853
distinct_vendors_to_date,0.0011259438671740389,1.0011265779799394,7.437580310971529e-05,15.138577603163563,9.014229842596229e-52,0.0009801699717577547,0.001271717762590323
distinct_psc_to_date,-0.004017846270891647,0.9959902144742114,0.0007181990007920627,-5.5943356457758675,2.2146814779813028e-08,-0.005425490446176744,-0.0026102020956065503
hw_share_to_date,0.6249923618922861,1.8682316876228608,0.0321456615242382,19.442510505532283,3.3725158048001007e-84,0.5619880230455643,0.687996700739008
is_defense,-0.015075909142048411,0.9850371634390389,0.005249526386490853,-2.871860817929176,0.004080626458044723,-0.025364791795463176,-0.004787026488633647
